Date,Open,High,Low,Close,Adj Close,Volume
2020-09-02,38.719749,40.281029,38.532398,40.218578,39.780792,13421133
2020-09-03,39.906322,41.530056,39.219360,39.469166,39.039532,15071750
2020-09-04,40.156128,40.967995,39.094456,40.093678,39.657249,14359353
2020-09-08,39.469166,39.718971,38.282593,38.345043,37.927639,19318441
2020-09-09,38.719749,38.719749,37.595627,38.469944,38.051178,17460719
2020-09-10,38.532398,38.719749,37.470726,37.470726,37.062847,15584134
2020-09-11,37.720531,37.782982,37.033569,37.158470,36.753990,11515966
2020-09-14,37.408276,38.469944,37.220921,38.407494,37.989403,11849586
2020-09-15,38.532398,38.844654,37.595627,38.095238,37.680553,13826922
2020-09-16,38.095238,42.529274,37.782982,42.154568,41.695705,40989838
2020-09-17,42.529274,44.839970,41.654957,44.028103,43.548840,41799078
2020-09-18,43.216236,44.590164,42.903980,42.966431,42.498734,23263088
2020-09-21,41.405151,41.530056,38.907104,39.656517,39.224842,26058678
2020-09-22,39.968773,41.092896,38.782200,39.032005,38.607128,22561773
2020-09-23,39.219360,40.093678,38.095238,38.157688,37.742325,14194233
2020-09-24,38.095238,38.594849,37.470726,37.845432,37.433468,15287102
2020-09-25,37.845432,38.532398,37.595627,38.157688,37.804707,12774564
2020-09-28,38.907104,39.406715,38.594849,38.719749,38.361568,13337260
2020-09-29,38.782200,38.907104,37.845432,38.220142,37.866585,11780652
2020-09-30,38.345043,39.281811,38.345043,38.907104,38.547199,15497154
2020-10-01,39.156910,39.281811,38.157688,38.969555,38.609066,12677993
2020-10-02,37.782982,39.968773,37.782982,39.906322,39.537170,14423484
2020-10-05,39.906322,40.281029,39.469166,40.031227,39.660923,9332661
2020-10-06,40.156128,41.092896,38.157688,38.532398,38.175953,27231850
2020-10-07,38.844654,39.968773,38.782200,39.406715,39.042187,13336187
2020-10-08,39.718971,41.654957,39.594067,41.530056,41.145889,16519664
2020-10-09,44.153004,44.153004,41.842312,42.716629,42.321480,27462638
2020-10-12,43.216236,43.216236,42.092117,42.654175,42.259605,14256954
2020-10-13,42.404373,42.591724,41.592506,41.967213,41.578995,12055427
2020-10-14,41.967213,43.028885,41.967213,42.591724,42.197739,15684036
2020-10-15,41.842312,42.966431,41.280251,42.903980,42.507099,14291589
2020-10-16,43.466042,45.901638,43.341141,45.526932,45.105785,27084711
2020-10-19,46.151443,46.651054,45.152225,45.526932,45.105785,20950291
2020-10-20,45.901638,46.338799,45.402031,45.839188,45.415150,15759519
2020-10-21,45.464481,46.276348,45.402031,45.714287,45.291412,11819002
2020-10-22,45.776737,48.399689,45.714287,48.212334,47.766350,15334675
2020-10-23,49.523811,50.148323,47.213116,47.650272,47.209476,21226682
2020-10-26,46.588604,47.213116,45.464481,46.088993,45.662647,16693736
2020-10-27,46.213894,46.213894,44.277908,44.340359,43.930191,15719471
2020-10-28,46.900860,49.086651,46.276348,46.338799,45.910141,40590743
2020-10-29,47.837627,48.337238,45.651836,46.026543,45.600773,19743092
2020-10-30,45.839188,47.088211,45.526932,46.338799,45.910141,16392012
2020-11-02,46.838406,47.338017,45.776737,46.963310,46.528881,17434138
2020-11-03,47.775177,49.461357,47.088211,49.024200,48.570698,15671834
2020-11-04,48.024979,50.085869,47.025761,49.024200,48.570698,20323882
2020-11-05,49.648712,50.273224,49.398907,49.898518,49.436932,13739814
2020-11-06,50.085869,50.835285,49.711163,50.523029,50.055664,13470596
2020-11-09,58.391880,58.766590,53.770493,54.457455,53.953697,30949392
2020-11-10,55.081966,56.830601,54.644810,56.081188,55.562408,26377968
2020-11-11,56.893051,56.955505,55.144417,55.519127,55.005550,14001330
2020-11-12,54.707260,55.394222,54.145199,54.707260,54.201191,12732884
2020-11-13,55.331772,57.767368,55.269321,57.767368,57.232986,20813096
2020-11-16,60.015614,60.202965,58.829041,59.765808,59.212948,19018367
2020-11-17,59.016392,60.827480,58.266979,60.452770,59.893555,14467070
2020-11-18,62.263855,62.763466,60.765026,60.765026,60.202927,23837136
2020-11-19,60.078064,60.952381,59.391102,60.327869,59.769814,13959297
2020-11-20,60.202965,61.389538,59.890709,60.952381,60.388550,12831697
2020-11-23,61.576893,64.137390,61.576893,62.888367,62.306622,17325093
2020-11-24,66.885246,67.759560,64.949257,65.261513,64.657814,28228244
2020-11-25,65.761124,65.948479,64.574554,65.573769,64.967178,17593398
2020-11-27,65.886024,65.948479,64.387199,64.949257,64.348442,8671537
2020-11-30,64.886810,64.886810,62.201405,63.575333,62.987228,20032294
2020-12-01,64.512100,65.448868,63.138172,63.387978,62.801605,13893582
2020-12-02,62.950821,65.448868,62.513660,65.136612,64.534065,12367350
2020-12-03,64.949257,66.822792,64.886810,66.198280,65.585915,14643896
2020-12-04,66.635445,68.259171,65.636223,67.946915,67.318375,21620222
2020-12-07,68.009369,69.320847,67.197502,67.822014,67.194618,15596816
2020-12-08,67.572212,68.883682,67.384857,68.446526,67.813362,14952200
2020-12-09,68.696327,71.756439,68.696327,71.131927,70.473930,20197447
2020-12-10,69.195938,71.693993,69.071037,70.694771,70.040817,15319415
2020-12-11,70.444962,71.256828,68.821236,69.695549,69.050827,14248835
2020-12-14,70.382515,70.882126,67.384857,67.634659,67.009018,12700715
2020-12-15,68.384071,69.633102,66.510536,69.383293,68.741455,13869051
2020-12-16,69.508194,69.633102,68.071815,68.259171,67.627731,9417880
2020-12-17,68.321625,68.633881,67.447304,67.946915,67.318375,9999166
2020-12-18,67.322403,69.445747,67.072601,67.509758,66.946785,18374920
2020-12-21,65.386414,67.884468,64.699455,67.259956,66.699089,13741719
2020-12-22,66.885246,67.197502,65.511322,66.260735,65.708183,14252326
2020-12-23,66.697891,68.571426,66.323189,67.822014,67.256439,9688283
2020-12-24,67.759560,67.759560,66.323189,66.510536,65.955910,4811708
2020-12-28,66.822792,67.322403,66.073380,66.448090,65.893990,8614197
2020-12-29,66.572990,67.259956,65.823578,65.948479,65.398537,8492373
2020-12-30,66.073380,67.759560,65.886024,66.885246,66.327499,8105688
2020-12-31,66.510536,67.634659,66.073380,67.447304,66.884857,7638331
2021-01-04,68.009369,68.071815,64.949257,65.386414,64.841156,12801914
2021-01-05,65.136612,67.946915,65.074158,67.259956,66.699089,13402511
2021-01-06,67.634659,72.568306,67.634659,70.944572,70.352959,21069984
2021-01-07,72.193596,72.256050,70.195160,70.382515,69.795593,12055779
2021-01-08,70.507416,71.444183,69.695549,70.819672,70.229111,11644242
2021-01-11,69.383293,72.006248,69.071037,71.506638,70.910355,10768983
2021-01-12,71.881340,74.379395,71.256828,73.567528,72.954041,14641718
2021-01-13,73.567528,73.817329,71.943794,72.256050,71.653503,8600890
2021-01-14,72.505852,73.255272,72.318504,72.818108,72.210869,9480921
2021-01-15,72.443405,72.443405,70.257614,70.757217,70.167175,11786721
2021-01-19,71.693993,72.755661,71.194382,71.381737,70.786491,10167841
2021-01-20,71.818893,71.818893,70.569870,71.131927,70.538765,9449921
2021-01-21,71.194382,71.381737,69.133492,69.133492,68.556992,10504632
2021-01-22,68.508980,69.820450,68.071815,69.383293,68.804703,8473719
2021-01-25,69.570648,69.633102,67.259956,68.633881,68.061531,14734847
2021-01-26,75.128807,76.377831,69.945358,70.507416,69.919449,33915019
2021-01-27,69.195938,72.193596,66.448090,71.069473,70.476814,23929064
2021-01-28,71.256828,71.631538,69.133492,69.258392,68.680840,15067650
2021-01-29,68.696327,70.195160,66.635445,66.697891,66.141693,17495065
2021-02-01,67.822014,68.696327,66.448090,67.072601,66.513283,10678064
2021-02-02,67.946915,70.882126,67.697113,70.195160,69.609802,13525102
2021-02-03,70.195160,70.569870,69.133492,69.945358,69.362091,8681145
2021-02-04,70.132706,71.818893,69.882904,71.506638,70.910355,10691194
2021-02-05,71.881340,72.131149,70.694771,71.194382,70.600700,8297421
2021-02-08,71.631538,72.755661,71.256828,72.505852,71.901215,6798027
2021-02-09,72.193596,72.443405,71.256828,72.068695,71.467705,8444720
2021-02-10,72.380951,72.380951,71.069473,71.194382,70.600700,7295279
2021-02-11,71.131927,71.631538,69.882904,71.569084,70.972282,8299151
2021-02-12,71.256828,73.317719,71.069473,73.255272,72.644394,9357657
2021-02-16,73.817329,74.816551,73.567528,74.754097,74.130730,9657459
2021-02-17,73.942230,74.629196,73.442619,74.067139,73.449509,6875784
2021-02-18,73.942230,74.067139,71.881340,72.630760,72.025093,7822843
2021-02-19,73.192818,75.128807,72.943016,75.066353,74.440376,9775471
2021-02-22,75.378609,79.313034,75.128807,78.064011,77.413025,15473888
2021-02-23,78.688522,79.000778,76.065575,78.626076,77.970406,11535805
2021-02-24,79.937546,83.372368,79.000778,81.935989,81.252724,17099909
2021-02-25,81.811089,82.872757,79.063232,79.687744,79.023224,14785510
2021-02-26,79.188133,80.187355,77.501953,78.313820,77.660767,14207859
2021-03-01,80.686966,82.997658,79.875099,81.873535,81.190788,12495771
2021-03-02,82.123344,82.747856,80.999222,81.061668,80.385696,12362515
2021-03-03,81.748634,85.058548,81.498833,83.934425,83.234497,18826265
2021-03-04,86.682281,88.243561,82.310692,84.746292,84.039597,26670692
2021-03-05,86.182671,86.245117,82.060890,84.933647,84.287491,16809202
2021-03-08,88.743172,89.555038,86.245117,88.493362,87.820122,23012781
2021-03-09,88.056206,90.054642,86.370026,87.431694,86.766533,18329140
2021-03-10,85.245903,85.807961,80.686966,82.747856,82.118332,35264393
2021-03-11,79.250587,80.312256,74.629196,76.627632,76.044670,48967074
2021-03-12,76.440285,78.813431,76.377831,78.563622,77.965935,21545123
2021-03-15,79.562843,83.434814,79.500389,83.372368,82.738083,17838325
2021-03-16,83.247459,83.372368,81.623734,82.123344,81.498566,11922299
2021-03-17,82.435600,84.996094,81.998436,84.996094,84.349457,12686239
2021-03-18,84.871193,85.495705,82.373146,82.747856,82.118332,10209746
2021-03-19,82.435600,83.372368,81.061668,82.560501,81.932388,10964079
2021-03-22,82.185791,82.685402,80.749413,81.998436,81.374603,8452855
2021-03-23,80.936768,82.310692,78.376266,79.063232,78.461731,10513023
2021-03-24,79.687744,81.311478,78.064011,78.064011,77.470116,9939519
2021-03-25,77.439499,80.749413,76.377831,80.249802,79.639275,11751878
2021-03-26,80.874313,81.998436,79.375488,81.124123,80.506958,9691518
2021-03-29,80.686966,81.498833,79.812645,80.874313,80.259041,8608784
2021-03-30,81.061668,83.434814,80.562057,83.060112,82.428215,8474632
2021-03-31,83.559715,83.871979,81.998436,81.998436,81.374603,10021583
2021-04-01,82.622948,83.434814,82.123344,82.935204,82.304245,9476806
2021-04-05,84.121780,84.746292,83.497269,84.059326,83.419823,8124566
2021-04-06,84.059326,84.309135,83.497269,83.684624,83.047981,6413359
2021-04-07,83.684624,84.496490,82.810303,83.622169,82.985992,6687685
2021-04-08,82.810303,84.309135,81.748634,83.996880,83.357849,8793905
2021-04-09,84.309135,86.370026,83.809525,84.933647,84.287491,10127266
2021-04-12,84.996094,85.433258,84.121780,84.871193,84.225525,6737580
2021-04-13,84.371582,84.558937,82.810303,83.934425,83.295876,8202211
2021-04-14,83.871979,86.120216,83.809525,85.433258,84.783310,10350320
2021-04-15,85.745514,85.870415,83.934425,84.621391,83.977615,8147448
2021-04-16,85.121002,85.433258,83.372368,83.622169,82.985992,8010157
2021-04-19,83.185013,84.121780,82.248245,84.059326,83.419823,7185737
2021-04-20,83.747070,83.747070,80.562057,81.561279,80.940781,9840754
2021-04-21,80.749413,83.559715,79.750198,83.372368,82.738083,7943497
2021-04-22,83.372368,85.433258,82.935204,83.747070,83.109940,8423824
2021-04-23,84.309135,84.996094,83.434814,84.621391,83.977615,7467926
2021-04-26,85.121002,87.431694,84.621391,84.746292,84.101570,15016346
2021-04-27,84.309135,84.558937,80.624512,84.246681,83.605766,23982722
2021-04-28,83.247459,83.372368,82.123344,82.435600,81.808456,10583526
2021-04-29,82.310692,82.997658,81.686180,82.498047,81.870430,8832111
2021-04-30,82.185791,83.372368,81.686180,81.935989,81.312645,7990157
2021-05-03,82.685402,84.496490,82.248245,83.996880,83.357849,10163534
